header,content,url 
Sufficient dimension reduction,"In statistics, sufficient dimension reduction (SDR) is a paradigm for analyzing data that combines the ideas of dimension reduction with the concept of sufficiency.",https://en.wikipedia.org/wiki/Sufficient_dimension_reduction
Spectral layout,"Spectral layout is a class of algorithm for drawing graphs. The layout uses the eigenvectors of a matrix, such as the Laplace matrix of the graph, as Cartesian coordinates of the graph's vertices.",https://en.wikipedia.org/wiki/Spectral_layout
Polynomial,"In mathematics, a polynomial is an expression consisting of variables (also called indeterminates) and coefficients, that involves only the operations of addition, subtraction, multiplication, and non-negative integer exponents of variables. An example of a polynomial of a single indeterminate, x, is x2 − 4x + 7. An example in three variables is x3 + 2xyz2 − yz + 1.",https://en.wikipedia.org/wiki/Polynomial
Hidden-surface determination,"In 3D computer graphics, shown-surface determination (also known as hidden-surface removal (HSR), occlusion culling (OC) or visible-surface determination (VSD)) is the process used to determine which surfaces and parts of surfaces are not visible from a certain viewpoint. A hidden-surface determination algorithm is a solution to the visibility problem, which was one of the first major problems in the field of 3D computer graphics. The process of hidden-surface determination is sometimes called hiding, and such an algorithm is sometimes called a hider. The analogue for line rendering is hidden-line removal. Hidden-surface determination is necessary to render an image correctly, so that one may not view features hidden behind the model itself, allowing only the naturally viewable portion of the graphic to be visible.",https://en.wikipedia.org/wiki/Hidden_surface_determination
Multilinear subspace learning,"Multilinear subspace learning is an approach to dimensionality reduction.Dimensionality reduction can be performed on a data tensor whose observations have been vectorized and organized into a data tensor, or whose observations are matrices that are concatenated into a data tensor.  Here are some examples of data tensors whose observations are vectorized  or whose observations are matrices concatenated into data tensor images (2D/3D), video sequences (3D/4D), and hyperspectral cubes (3D/4D).",https://en.wikipedia.org/wiki/Multilinear_subspace_learning
Ben Goertzel,Ben Goertzel is an artificial intelligence researcher.,https://en.wikipedia.org/wiki/Ben_Goertzel
Clustering high-dimensional data,"Clustering high-dimensional data is the cluster analysis of data with anywhere from a few dozen to many thousands of dimensions. Such high-dimensional spaces of data are often encountered in areas such as medicine, where DNA microarray technology can produce many measurements at once, and the clustering of text documents, where, if a word-frequency vector is used, the number of dimensions equals the size of the vocabulary.",https://en.wikipedia.org/wiki/Clustering_high-dimensional_data
CIML community portal,"The computational intelligence and machine learning (CIML) community portal is an international multi-university initiative.  Its primary purpose is to help facilitate a virtual scientific community infrastructure for all those involved with, or interested in, computational intelligence and machine learning.  This includes CIML research-, education, and application-oriented resources residing at the portal and others that are linked from the CIML site.",https://en.wikipedia.org/wiki/CIML_community_portal
Tomasulo algorithm,Tomasulo’s algorithm is a computer architecture hardware algorithm for dynamic scheduling of instructions that allows out-of-order execution and enables more efficient use of multiple execution units. It was developed by Robert Tomasulo at IBM in 1967 and was first implemented in the IBM System/360 Model 91’s floating point unit.,https://en.wikipedia.org/wiki/Tomasulo_algorithm
VEGAS algorithm,"The VEGAS algorithm, due to G. Peter Lepage, is a method for reducing error in Monte Carlo simulations by using a known or approximate probability distribution function to concentrate the search in those areas of the integrand that make the greatest contribution to the final integral.",https://en.wikipedia.org/wiki/VEGAS_algorithm
Knowledge Engineering and Machine Learning Group,,https://en.wikipedia.org/wiki/Knowledge_Engineering_and_Machine_Learning_Group
Arithmetical hierarchy,"In mathematical logic, the arithmetical hierarchy, arithmetic hierarchy or Kleene–Mostowski hierarchy classifies certain sets based on the complexity of formulas that define them.  Any set that receives a classification is called arithmetical.",https://en.wikipedia.org/wiki/Arithmetical_hierarchy
Benson's algorithm,"Benson's algorithm, named after Harold Benson, is a method for solving multi-objective linear programming problems and vector linear programs.  This works by finding the ""efficient extreme points in the outcome set"".  The primary concept in Benson's algorithm is to evaluate the upper image of the vector optimization problem by cutting planes.",https://en.wikipedia.org/wiki/Benson%27s_algorithm
Maximum-entropy Markov model,"In machine learning, a maximum-entropy Markov model (MEMM), or conditional Markov model (CMM), is a graphical model for sequence labeling that combines features of hidden Markov models (HMMs) and maximum entropy (MaxEnt) models. An MEMM is a discriminative model that extends a standard maximum entropy classifier by assuming that the unknown values to be learnt are connected in a Markov chain rather than being conditionally independent of each other. MEMMs find applications in natural language processing, specifically in part-of-speech tagging and information extraction.",https://en.wikipedia.org/wiki/Maximum-entropy_Markov_model
Decision tree learning,"Decision tree learning is one of the predictive modeling approaches used in statistics, data mining and machine learning. It uses a decision tree (as a predictive model) to go from observations about an item (represented in the branches) to conclusions about the item's target value (represented in the leaves). Tree models where the target variable can take a discrete set of values are called classification trees; in these tree structures, leaves represent class labels and branches represent conjunctions of features that lead to those class labels. Decision trees where the target variable can take continuous values (typically real numbers) are called regression trees.",https://en.wikipedia.org/wiki/Decision_tree_learning
Baby-step giant-step,"In group theory, a branch of mathematics, the baby-step giant-step is a meet-in-the-middle algorithm for computing the discrete logarithm or order of an element in a finite abelian group due to Daniel Shanks. The discrete log problem is of fundamental importance to the area of public key cryptography.",https://en.wikipedia.org/wiki/Baby-step_giant-step
Golden-section search,"The golden-section search is a technique for finding an extremum (minimum or maximum) of a function inside a specified interval. For a strictly unimodal function with an extremum inside the interval, it will find that extremum, while for an interval containing multiple extrema (possibly including the interval boundaries), it will converge to one of them. If the only extremum on the interval is on a boundary of the interval, it will converge to that boundary point. The method operates by successively narrowing the range of values on the specified interval, which makes it relatively slow, but very robust. The technique derives its name from the fact that the algorithm maintains the function values for four points whose three interval widths are in the ratio 2-φ:2φ-3:2-φ where φ is the golden ratio. These ratios are maintained for each iteration and are maximally efficient. Excepting boundary points, when searching for a minimum, the central point is always less than or equal to the outer points, assuring that a minimum is contained between the outer points. The converse is true when searching for a maximum. The algorithm is the limit of Fibonacci search (also described below) for many function evaluations. Fibonacci search and golden-section search were discovered by Kiefer (1953) (see also Avriel and Wilde (1966)).",https://en.wikipedia.org/wiki/Golden_section_search
Cobweb (clustering),"COBWEB is an incremental system for hierarchical conceptual clustering. COBWEB was invented by Professor Douglas H. Fisher, currently at Vanderbilt University.",https://en.wikipedia.org/wiki/Cobweb_(clustering)
TensorFlow,,https://en.wikipedia.org/wiki/DistBelief
Tiger (hash function),"In cryptography, Tiger is a cryptographic hash function designed by Ross Anderson and Eli Biham in 1995 for efficiency on 64-bit platforms. The size of a Tiger hash value is 192 bits. Truncated versions (known as Tiger/128 and Tiger/160) can be used for compatibility with protocols assuming a particular hash size. Unlike the SHA-2 family, no distinguishing initialization values are defined; they are simply prefixes of the full Tiger/192 hash value.",https://en.wikipedia.org/wiki/Tiger_(hash)
Yarrow algorithm,"The Yarrow algorithm is a family of cryptographic pseudorandom number generators (CPRNG) devised by John Kelsey, Bruce Schneier, and Niels Ferguson and published in 1999. The Yarrow algorithm is explicitly unpatented, royalty-free, and open source; no license is required to use it. Yarrow is incorporated in iOS and macOS for their /dev/random devices, and was in FreeBSD (where it is superseded by Fortuna).",https://en.wikipedia.org/wiki/Yarrow_algorithm
Category:CS1 maint: multiple names: authors list,"This is a hidden tracking category for CS1 citations that use |author=, or its aliases.",https://en.wikipedia.org/wiki/Category:CS1_maint:_multiple_names:_authors_list
Top-nodes algorithm,"The top-nodes algorithm is an algorithm for managing a resource reservation calendar. The algorithm has been first published in 2003, and has been improved in 2009. It is used when a resource is shared among lots of users (for example bandwidth in a telecommunication link, or disk capacity in a large data center).",https://en.wikipedia.org/wiki/Top-nodes_algorithm
Structured prediction,"Structured prediction or structured (output) learning is an umbrella term for supervised machine learning techniques that involves predicting structured objects, rather than scalar discrete or real values.",https://en.wikipedia.org/wiki/Structured_prediction
Semantic analysis (machine learning),"In machine learning, semantic analysis of a corpus is the task of building structures that approximate concepts from a large set of documents. It generally does not involve prior semantic understanding of the documents.",https://en.wikipedia.org/wiki/Semantic_analysis_(machine_learning)
Hierarchical clustering,"In data mining and statistics, hierarchical clustering (also called hierarchical cluster analysis or HCA) is a method of cluster analysis which seeks to build a hierarchy of clusters.",https://en.wikipedia.org/wiki/Hierarchical_Clustering
Trax Retail,"Trax is a technology company headquartered in Singapore, with offices throughout the Asia-Pacific, Europe, the Middle East, North America, and South America. Founded in 2010 by Joel Bar-El and Dror Feldheim, Trax has more than 150 customers in the retail and FMCG industries, including beverage giant Coca-Cola and brewer Anheuser-Busch InBev. Customers use the company’s computer vision technology to collect, measure, and analyze what’s happening on physical store shelves. Trax’s services are available in 45 markets. ",https://en.wikipedia.org/wiki/Trax_Image_Recognition
Cannon's algorithm,"In computer science, Cannon's algorithm is a distributed algorithm for matrix multiplication for two-dimensional meshes first described in 1969 by Lynn Elliot Cannon.",https://en.wikipedia.org/wiki/Cannon%27s_algorithm
Theano (software),,https://en.wikipedia.org/wiki/Theano_(software)
Golomb coding,"Golomb coding is a lossless data compression method using a family of data compression codes invented by Solomon W. Golomb in the 1960s.  Alphabets following a geometric distribution will have a Golomb code as an optimal prefix code, making Golomb coding highly suitable for situations in which the occurrence of small values in the input stream is significantly more likely than large values.",https://en.wikipedia.org/wiki/Rice_coding
Random indexing,"Random indexing is a dimensionality reduction method and computational framework for distributional semantics, based on the insight that very-high-dimensional vector space model implementations are impractical, that models need not grow in dimensionality when new items (e.g. new terminology) are encountered, and that a high-dimensional model can be projected into a space of lower dimensionality without compromising L2 distance metrics if the resulting dimensions are chosen appropriately.",https://en.wikipedia.org/wiki/Random_indexing
Brian D. Ripley,,https://en.wikipedia.org/wiki/Brian_D._Ripley
Optimal substructure,"In computer science, a problem is said to have optimal substructure if an optimal solution can be constructed from optimal solutions of its subproblems. This property is used to determine the usefulness of dynamic programming and greedy algorithms for a problem.",https://en.wikipedia.org/wiki/Optimal_substructure
Delta encoding,"Delta encoding is a way of storing or transmitting data in the form of differences (deltas) between sequential data rather than complete files; more generally this is known as data differencing. Delta encoding is sometimes called delta compression, particularly where archival histories of changes are required (e.g., in revision control software).",https://en.wikipedia.org/wiki/Delta_encoding
Petrick's method,"In Boolean algebra, Petrick's method (also known as the branch-and-bound method) is a technique described by Stanley R. Petrick (1931–2006) in 1956 for determining all minimum sum-of-products solutions from a prime implicant chart. Petrick's method is very tedious for large charts, but it is easy to implement on a computer.",https://en.wikipedia.org/wiki/Petrick%27s_method
Runge's phenomenon,"In the mathematical field of numerical analysis, Runge's phenomenon (German: ) is a problem of oscillation at the edges of an interval that occurs when using polynomial interpolation with polynomials of high degree over a set of equispaced interpolation points. It was discovered by Carl David Tolmé Runge (1901) when exploring the behavior of errors when using polynomial interpolation to approximate certain functions.The discovery was important because it shows that going to higher degrees does not always improve accuracy. The phenomenon is similar to the Gibbs phenomenon in Fourier series approximations.",https://en.wikipedia.org/wiki/Runge%27s_phenomenon
Slowsort,"Slowsort is a sorting algorithm. It is of humorous nature and not useful. It's based on the principle of multiply and surrender, a tongue-in-cheek joke of divide and conquer. It was published in 1986 by Andrei Broder and Jorge Stolfi in their paper Pessimal Algorithms and Simplexity Analysis (a parody of optimal algorithms and complexity analysis).",https://en.wikipedia.org/wiki/Slowsort
Time complexity,"In computer science, the time complexity is the computational complexity that describes the amount of time it takes to run an algorithm. Time complexity is commonly estimated by counting the number of elementary operations performed by the algorithm, supposing that each elementary operation takes a fixed amount of time to perform. Thus, the amount of time taken and the number of elementary operations performed by the algorithm are taken to differ by at most a constant factor.",https://en.wikipedia.org/wiki/Linear-time
Linear genetic programming,Linear genetic programming (LGP) is a particular subset of genetic programming wherein computer programs in a population are represented as a sequence of instructions from imperative programming language or machine language. The graph-based data flow that results from a multiple usage of register contents and the existence of structurally noneffective code (introns) are two main differences of this genetic representation from the more common tree-based genetic programming (TGP) variant.,https://en.wikipedia.org/wiki/Linear_genetic_programming
Odd–even sort,"In computing, an odd–even sort or odd–even transposition sort (also known as brick sort[self-published source]) is a relatively simple sorting algorithm, developed originally for use on parallel processors with local interconnections.  It is a comparison sort related to bubble sort, with which it shares many characteristics.  It functions by comparing all odd/even indexed pairs of adjacent elements in the list and, if a pair is in the wrong order (the first is larger than the second) the elements are switched.  The next step repeats this for even/odd indexed pairs (of adjacent elements). Then it alternates between odd/even and even/odd steps until the list is sorted.",https://en.wikipedia.org/wiki/Odd%E2%80%93even_sort
Post-quantum cryptography,"Post-quantum cryptography (sometimes referred to as quantum-proof, quantum-safe or quantum-resistant) refers to cryptographic algorithms (usually public-key algorithms) that are thought to be secure against an attack by a quantum computer. As of 2019, this is not true for the most popular public-key algorithms, which can be efficiently broken by a sufficiently strong quantum computer. The problem with currently popular algorithms is that their security relies on one of three hard mathematical problems:  the integer factorization problem, the discrete logarithm problem or the elliptic-curve discrete logarithm problem. All of these problems can be easily solved on a sufficiently powerful quantum computer running Shor's algorithm. Even though current, publicly known, experimental quantum computers lack processing power to break any real cryptographic algorithm, many cryptographers are designing new algorithms to prepare for a time when quantum computing becomes a threat. This work has gained greater attention from academics and industry through the PQCrypto conference series since 2006 and more recently by several workshops on Quantum Safe Cryptography hosted by the European Telecommunications Standards Institute (ETSI) and the Institute for Quantum Computing.",https://en.wikipedia.org/wiki/Post-quantum_cryptography
Domain adaptation,"Domain adaptation is a field associated with machine learning and transfer learning. This scenario arises when we aim at learning from a source data distribution a well performing model on a different (but related) target data distribution. For instance, one of the tasks of the common spam filtering problem consists in adapting a model from one user (the source distribution) to a new one who receives significantly different emails (the target distribution). Domain adaptation has also been shown to be beneficial for learning unrelated sources.Note that, when more than one source distribution is available the problem is referred to as multi-source domain adaptation.",https://en.wikipedia.org/wiki/Domain_adaptation
Shellsort,"Shellsort, also known as Shell sort or Shell's method, is an in-place comparison sort. It can be seen as either a generalization of sorting by exchange (bubble sort) or sorting by insertion (insertion sort). The method starts by sorting pairs of elements far apart from each other, then progressively reducing the gap between elements to be compared. Starting with far apart elements, it can move some out-of-place elements into position faster than a simple nearest neighbor exchange. Donald Shell published the first version of this sort in 1959. The running time of Shellsort is heavily dependent on the gap sequence it uses. For many practical variants, determining their time complexity remains an open problem.",https://en.wikipedia.org/wiki/Shellsort
Embedded Zerotrees of Wavelet transforms,"Embedded Zerotrees of Wavelet transforms (EZW) is a lossy image compression algorithm. At low bit rates, i.e. high compression ratios, most of the coefficients produced by a subband transform (such as the wavelet transform)will be zero, or very close to zero. This occurs because ""real world"" images tend to contain mostly low frequency information (highly correlated). However where high frequency information does occur (such as edges in the image) this is particularly important in terms of human perception of the image quality, and thus must be represented accurately in any high quality coding scheme.",https://en.wikipedia.org/wiki/Embedded_Zerotree_Wavelet
Machine learning,"Machine learning (ML) is the scientific study of algorithms and statistical models that computer systems use to perform a specific task without using explicit instructions, relying on patterns and inference instead. It is seen as a subset of artificial intelligence. Machine learning algorithms build a mathematical model based on sample data, known as ""training data"", in order to make predictions or decisions without being explicitly programmed to perform the task.:2 Machine learning algorithms are used in a wide variety of applications, such as email filtering and computer vision, where it is difficult or infeasible to develop a conventional algorithm for effectively performing the task.",https://en.wikipedia.org/wiki/Statistical_learning
Evaluation of binary classifiers,Sources: Fawcett (2006),https://en.wikipedia.org/wiki/Evaluation_of_binary_classifiers
Ambient occlusion,"In computer graphics, ambient occlusion is a shading and rendering technique used to calculate how exposed each point in a scene is to ambient lighting. For example, the interior of a tube is typically more occluded (and hence darker) than the exposed outer surfaces, and the deeper you go inside the tube, the more occluded (and darker) the lighting becomes. Ambient occlusion can be seen as an accessibility value that is calculated for each surface point. In scenes with open sky this is done by estimating the amount of visible sky for each point, while in indoor environments only objects within a certain radius are taken into account and the walls are assumed to be the origin of the ambient light. The result is a diffuse, non-directional shading effect that casts no clear shadows but that darkens enclosed and sheltered areas and can affect the rendered image's overall tone. It is often used as a post-processing effect.",https://en.wikipedia.org/wiki/Ambient_occlusion
Snapshot algorithm,"A snapshot algorithm is used to create a consistent snapshot of the global state of a distributed system. Due to the lack of globally shared memory and a global clock, this isn't trivially possible.",https://en.wikipedia.org/wiki/Snapshot_algorithm
Image compression,"Image compression is a type of data compression applied to digital images, to reduce their cost for storage or transmission. Algorithms may take advantage of visual perception and the statistical properties of image data to provide superior results compared with generic data compression methods which are used for other digital data.",https://en.wikipedia.org/wiki/Image_compression
Geoffrey Hinton,,https://en.wikipedia.org/wiki/Geoffrey_Hinton
Huffman coding,,https://en.wikipedia.org/wiki/Huffman_coding
Rprop,"Rprop, short for resilient backpropagation, is a learning heuristic for supervised learning in feedforward artificial neural networks. This is a first-order optimization algorithm. This algorithm was created by Martin Riedmiller and Heinrich Braun in 1992.",https://en.wikipedia.org/wiki/Rprop
Feature selection,"In machine learning and statistics, feature selection, also known as variable selection, attribute selection or variable subset selection, is the process of selecting a subset of relevant features (variables, predictors) for use in model construction.",https://en.wikipedia.org/wiki/Feature_selection
Cleverbot,,https://en.wikipedia.org/wiki/Cleverbot
Backward Euler method,"In numerical analysis and scientific computing, the backward Euler method (or implicit Euler method) is one of the most basic numerical methods for the solution of ordinary differential equations. It is similar to the (standard) Euler method, but differs in that it is an implicit method. The backward Euler method has error of order one in time.",https://en.wikipedia.org/wiki/Backward_Euler_method
Heuristic,"A heuristic technique (/hjʊəˈrɪstɪk/; Ancient Greek: εὑρίσκω, ""find"" or ""discover""), or a heuristic for short, is any approach to problem solving or self-discovery that employs a practical method that is not guaranteed to be optimal, perfect or rational, but which is nevertheless sufficient for reaching an immediate, short-term goal. Where finding an optimal solution is impossible or impractical, heuristic methods can be used to speed up the process of finding a satisfactory solution. Heuristics can be mental shortcuts that ease the cognitive load of making a decision.:94 Examples that employ heuristics include using trial and error, a rule of thumb, an educated guess, an intuitive judgment, a guesstimate, profiling, or common sense.",https://en.wikipedia.org/wiki/Heuristic
Manifold alignment,"Manifold alignment is a class of machine learning algorithms that produce projections between sets of data, given that the original data sets lie on a common manifold. The concept was first introduced as such by Ham, Lee, and Saul in 2003, adding a manifold constraint to the general problem of correlating sets of high-dimensional vectors.",https://en.wikipedia.org/wiki/Manifold_alignment
Extended Euclidean algorithm,"In arithmetic and computer programming, the extended Euclidean algorithm is an extension to the Euclidean algorithm, and computes, in addition to the greatest common divisor of integers a and b, also  the coefficients of Bézout's identity, which are integers x and y such that",https://en.wikipedia.org/wiki/Extended_Euclidean_algorithm
Wolfram Mathematica,"Wolfram Mathematica (usually termed Mathematica) is a modern technical computing system spanning most areas of technical computing — including neural networks, machine learning, image processing, geometry, data science, visualizations, and others. The system is used in many technical, scientific, engineering, mathematical, and computing fields. It was conceived by Stephen Wolfram and is developed by Wolfram Research of Champaign, Illinois. The Wolfram Language is the programming language used in Mathematica.",https://en.wikipedia.org/wiki/Wolfram_Mathematica
Stephen Wolfram,,https://en.wikipedia.org/wiki/Stephen_Wolfram
Data compression,"In signal processing, data compression, source coding, or bit-rate reduction is the process of encoding information using fewer bits than the original representation. Any particular compression is either lossy or lossless. Lossless compression reduces bits by identifying and eliminating statistical redundancy. No information is lost in lossless compression. Lossy compression reduces bits by removing unnecessary or less important information. Typically, a device that performs data compression is referred to as an encoder, and one that performs the reversal of the process (decompression) as a decoder.",https://en.wikipedia.org/wiki/Video_compression
Anthony Levandowski,,https://en.wikipedia.org/wiki/Anthony_Levandowski
Hamiltonian Monte Carlo,"In computational physics and statistics, the Hamiltonian Monte Carlo algorithm (also known as hybrid Monte Carlo), is a Markov chain Monte Carlo method for obtaining a sequence of random samples which converge to being distributed according to a target probability distribution for which direct sampling is difficult. This sequence can be used to estimate integrals with respect to the target distribution (expected values).",https://en.wikipedia.org/wiki/Hybrid_Monte_Carlo
AKS primality test,"The AKS primality test (also known as Agrawal–Kayal–Saxena primality test and cyclotomic AKS test) is a deterministic primality-proving algorithm created and published by Manindra Agrawal, Neeraj Kayal, and Nitin Saxena, computer scientists at the Indian Institute of Technology Kanpur, on August 6, 2002, in an article titled ""PRIMES is in P"". The algorithm was the first that can provably determine whether any given number is prime or composite within polynomial time, without relying on the generalized Riemann hypothesis, or any mathematical conjecture. The proof is also notable for not relying on the field of analysis. The authors received the 2006 Gödel Prize and the 2006 Fulkerson Prize for this work. ",https://en.wikipedia.org/wiki/AKS_primality_test
Freivalds' algorithm,"Freivalds' algorithm (named after Rūsiņš Mārtiņš Freivalds) is a probabilistic randomized algorithm used to verify matrix multiplication. Given three n × n matrices A, B, and C, a general problem is to verify whether A×B=C. A naïve algorithm would compute the product A×B. However, the best known matrix multiplication algorithm runs in O(n2.3729) time. Freivalds' algorithm utilizes randomization in order to reduce this time bound to O(n2)with high probability. In O(kn2).",https://en.wikipedia.org/wiki/Freivalds%27_algorithm
Sweep and prune,"In physical simulations, sweep and prune is a broad phase algorithm used during collision detection to limit the number of pairs of solids that need to be checked for collision, i.e. intersection. This is achieved by sorting the starts (lower bound) and ends (upper bound) of the bounding volume of each solid along a number of arbitrary axes. As the solids move, their starts and ends may overlap. When the bounding volumes of two solids overlap in all axes they are flagged to be tested by more precise and time-consuming algorithms.",https://en.wikipedia.org/wiki/Sweep_and_prune
Fast-and-frugal trees,"In the study of decision-making, including the disciplines of psychology, artificial intelligence, and management science, a fast-and-frugal tree is a type of classification tree or decision tree. As shown in Figure 1--which will be explained in detail later--fast-and-frugal trees are simple graphical structures that ask one question at a time. The goal is to classify an object (in Figure 1: a patient suspected of heart disease) into a category for the purpose of making a decision (in Figure 1 there are two possibilities, patient assigned to a regular nursing bed or to emergency care). Unlike other classification and decision trees, such as Leo Breiman's CART, fast-and-frugal trees have been defined to be intentionally simple, both in their construction as well as their execution, and operate speedily with little information. For example, the tree of Figure 1 only asks from one to maximum three questions.      ",https://en.wikipedia.org/wiki/Fast-and-frugal_trees
General Architecture for Text Engineering,"General Architecture for Text Engineering or GATE is a Java suite of tools originally developed at the University of Sheffield beginning in 1995 and now used worldwide by a wide community of scientists, companies, teachers and students for many natural language processing tasks, including information extraction in many languages.",https://en.wikipedia.org/wiki/General_Architecture_for_Text_Engineering
Concept class,A concept over a domain X is a total Boolean function over X. A concept class is a class of concepts. Concept class is a subject of computational learning theory.,https://en.wikipedia.org/wiki/Concept_class
Sieve of Atkin,"In mathematics, the sieve of Atkin is a modern algorithm for finding all prime numbers up to a specified integer.  Compared with the ancient sieve of Eratosthenes, which marks off multiples of  primes, the sieve of Atkin does some preliminary work and then marks off multiples of squares of primes, thus achieving a better theoretical asymptotic complexity. It was created in 2003 by A. O. L. Atkin and Daniel J. Bernstein.",https://en.wikipedia.org/wiki/Sieve_of_Atkin
Association rule learning,Association rule learning is a rule-based machine learning method for discovering interesting relations between variables in large databases. It is intended to identify strong rules discovered in databases using some measures of interestingness.,https://en.wikipedia.org/wiki/One-attribute_rule
Jacek M. Zurada,"Jacek M. Zurada serves as a Professor of Electrical and Computer Engineering Department at the University of Louisville, Kentucky. He has held visiting appointments at Princeton, Northeastern, Auburn, and at overseas universities in Australia, Chile, China, France, Germany, Hong Kong, Italy, Japan, Poland, Singapore, Spain, and South Africa. He is a Life Fellow of IEEE.",https://en.wikipedia.org/wiki/Jacek_M._Zurada
Interpolation search,"Interpolation search is an algorithm for searching for a key in an array that has been ordered by numerical values assigned to the keys (key values). It was first described by W. W. Peterson in 1957. Interpolation search resembles the method by which people search a telephone directory for a name (the key value by which the book's entries are ordered): in each step the algorithm calculates where in the remaining search space the sought item might be, based on the key values at the bounds of the search space and the value of the sought key, usually via a linear interpolation. The key value actually found at this estimated position is then compared to the key value being sought. If it is not equal, then depending on the comparison, the remaining search space is reduced to the part before or after the estimated position. This method will only work if calculations on the size of differences between key values are sensible.",https://en.wikipedia.org/wiki/Interpolation_search
Vicarious (company),"Vicarious is an artificial intelligence company based in the San Francisco Bay Area, California. They are using the theorized computational principles of the brain to build software that can think and learn like a human.",https://en.wikipedia.org/wiki/Vicarious_(company)
Geographical cluster,"A geographical cluster is a localised anomaly, usually an excess of something given the distribution or variation of something else. Often it is considered as an incidence rate that is unusual in that there is more of some variable than might be expected. Examples would include: a local excess disease rate, a crime hot spot, areas of high unemployment, accident blackspots, unusually high positive residuals from a model, high concentrations of flora or fauna, physical features or events like earthquake epicenters etc...[citation needed]",https://en.wikipedia.org/wiki/Geographical_cluster
Neville's algorithm,"In mathematics, Neville's algorithm is an algorithm used for polynomial interpolation that was derived by the mathematician Eric Harold Neville[citation needed]. Given n + 1 points, there is a unique polynomial of degree ≤ n which goes through the given points. Neville's algorithm evaluates this polynomial.",https://en.wikipedia.org/wiki/Neville%27s_algorithm
UIMA,"UIMA (/juˈiːmə/ yoo-EE-mə), short for Unstructured Information Management Architecture, is an OASIS standard  for content analytics, originally developed at IBM.  It provides a component software architecture for the development, discovery, composition, and deployment of multi-modal analytics for the analysis of unstructured information and integration with search technologies.",https://en.wikipedia.org/wiki/UIMA
EdDSA,"In public-key cryptography, Edwards-curve Digital Signature Algorithm (EdDSA) is a digital signature scheme using a variant of Schnorr signature based on twisted Edwards curves.It is designed to be faster than existing digital signature schemes without sacrificing security. It was developed by a team including Daniel J. Bernstein, Niels Duif, Tanja Lange, Peter Schwabe, and Bo-Yin Yang.The reference implementation is public domain software.",https://en.wikipedia.org/wiki/EdDSA
IRCF360,,https://en.wikipedia.org/wiki/IRCF360
Cluster-weighted modeling,"In data mining, cluster-weighted modeling (CWM) is an algorithm-based approach to non-linear prediction of outputs (dependent variables) from inputs (independent variables) based on density estimation using a set of models (clusters) that are each notionally appropriate in a sub-region of the input space. The overall approach works in jointly input-output space and an initial version was proposed by Neil Gershenfeld.",https://en.wikipedia.org/wiki/Cluster-weighted_modeling
Computer vision,"Computer vision is an interdisciplinary scientific field that deals with how computers can be made to gain high-level understanding from digital images or videos. From the perspective of engineering, it seeks to automate tasks that the human visual system can do.",https://en.wikipedia.org/wiki/Computer_Vision
Peterson's algorithm,"Peterson's algorithm (or Peterson's solution) is a concurrent programming algorithm for mutual exclusion that allows two or more processes to share a single-use resource without conflict, using only shared memory for communication. It was formulated by Gary L. Peterson in 1981. While Peterson's original formulation worked with only two processes, the algorithm can be generalized for more than two.",https://en.wikipedia.org/wiki/Peterson%27s_algorithm
Maximum likelihood estimation,"In statistics, maximum likelihood estimation (MLE) is a method of estimating the parameters of a probability distribution by maximizing a likelihood function, so that under the assumed statistical model the observed data is most probable. The point in the parameter space that maximizes the likelihood function is called the maximum likelihood estimate. The logic of maximum likelihood is both intuitive and flexible, and as such the method has become a dominant means of statistical inference.",https://en.wikipedia.org/wiki/Maximum_likelihood
Polynomial kernel,"In machine learning, the polynomial kernel is a kernel function commonly used with support vector machines (SVMs) and other kernelized models, that represents the similarity of vectors (training samples) in a feature space over polynomials of the original variables, allowing learning of non-linear models.",https://en.wikipedia.org/wiki/Polynomial_kernel
Klaus-Robert Müller,Shun'ichi Amari,https://en.wikipedia.org/wiki/Klaus-Robert_M%C3%BCller
Raymond Cattell,,https://en.wikipedia.org/wiki/Raymond_Cattell
Stress majorization,"Stress majorization is an optimization strategy used in multidimensional scaling (MDS) where, for a set of n m-dimensional data items, a configuration X of n points in r(<<m)-dimensional space is sought that minimizes the so-called stress function σ(X).  Usually r is 2 or 3, i.e. the (n x r) matrix X lists points in 2- or 3-dimensional Euclidean space so that the result may be visualised (i.e. an MDS plot).  The function σ-dimensional) distances and actual distances in r-dimensional space.",https://en.wikipedia.org/wiki/Stress_majorization
Uniform convergence in probability,"Uniform convergence in probability is a form of convergence in probability in statistical asymptotic theory and probability theory. It means that, under certain conditions, the empirical frequencies of all events in a certain event-family converge to their theoretical probabilities.  Uniform convergence in probability has applications to statistics as well as machine learning as part of statistical learning theory.",https://en.wikipedia.org/wiki/Uniform_convergence_in_probability
Inductive logic programming,"Inductive logic programming (ILP) is a subfield of symbolic artificial intelligence  which uses logic programming as a uniform representation for examples, background knowledge and hypotheses. Given an encoding of the known background knowledge and a set of examples represented as a logical database of facts, an ILP system will derive a hypothesised logic program which entails all the positive and none of the negative examples.",https://en.wikipedia.org/wiki/Inductive_logic_programming
